# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2014-01-01T00:00:00.0
# Date end (ISO 8601): 2022-02-01T00:00:00.0
# Latitude (positive North, ISO 19115): 36.9000
# Longitude (positive East, ISO 19115): 21.7400
# Altitude (m): 171.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 1 month 0 day 0 h 0 min 0 s
# noValue: nan
# File generated on: 2024-07-02
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2016-12-01T00:00:00.0/2017-01-01T00:00:00.0;134738.3906;96079.8047;78020.6641;18059.1387;210766.8281;75725.5703;52256.1758;23469.3945;142939.1250;0.9795
2017-01-01T00:00:00.0/2017-02-01T00:00:00.0;148871.3438;104540.4844;80213.2734;24327.2051;199136.4375;62381.4766;30635.5430;31745.9336;78474.0625;0.9792
2017-02-01T00:00:00.0/2017-03-01T00:00:00.0;174829.4688;121714.3984;88622.2031;33092.1953;181907.0000;81951.4141;41767.5391;40183.8750;86710.1719;0.9804
2017-03-01T00:00:00.0/2017-04-01T00:00:00.0;251900.3125;185396.8125;146872.1094;38524.7031;254425.8438;148098.1562;93001.3125;55096.8477;163753.6250;0.9817
2017-04-01T00:00:00.0/2017-05-01T00:00:00.0;296782.0938;217634.5781;168203.0781;49431.5000;255896.6094;185446.0469;121279.4219;64166.6328;186560.5469;0.9805
2017-05-01T00:00:00.0/2017-06-01T00:00:00.0;343274.3750;247554.3906;187799.7031;59754.6914;268710.7500;213994.1875;145120.0938;68874.0938;208690.4688;0.9806
2017-06-01T00:00:00.0/2017-07-01T00:00:00.0;345908.3750;252227.6719;200636.2188;51591.4492;284502.9688;238505.3281;178522.2969;59983.0352;253526.5000;0.9787
2017-07-01T00:00:00.0/2017-08-01T00:00:00.0;348565.2500;255729.5312;207070.9062;48658.6172;297237.7812;251864.2031;201579.3750;50284.8203;288923.3125;0.9800
2017-08-01T00:00:00.0/2017-09-01T00:00:00.0;317514.5312;227167.4688;175225.5156;51941.9492;258747.6719;219976.3750;165494.4219;54481.9492;243897.8906;0.9824
2017-09-01T00:00:00.0/2017-10-01T00:00:00.0;260043.4531;187557.3125;148440.2969;39117.0195;244292.7344;174211.3438;130542.5469;43668.7891;214434.1406;0.9826
2017-10-01T00:00:00.0/2017-11-01T00:00:00.0;210476.1562;150651.5156;120527.9531;30123.5703;234327.1406;130288.1172;90923.9609;39364.1641;177989.7188;0.9822
2017-11-01T00:00:00.0/2017-12-01T00:00:00.0;154126.2031;106141.8047;79519.7266;26622.0742;186389.8906;76742.4453;45083.7109;31658.7383;107556.4141;0.9800
2017-12-01T00:00:00.0/2018-01-01T00:00:00.0;134785.2188;92846.9609;70766.4688;22080.4961;189185.2031;60711.9648;35766.1055;24945.8613;99892.3984;0.9801
2018-01-01T00:00:00.0/2018-02-01T00:00:00.0;148609.6562;105104.5391;81626.1328;23478.4082;202518.7500;82482.6953;51450.2539;31032.4453;128817.1719;0.9805
2018-02-01T00:00:00.0/2018-03-01T00:00:00.0;174418.0312;121134.2031;88595.7500;32538.4570;181111.5469;78614.6484;40123.4297;38491.2148;85243.8672;0.9812
2018-03-01T00:00:00.0/2018-04-01T00:00:00.0;251417.4844;176284.1719;125128.6484;51155.5234;213845.7656;141262.5312;83822.7500;57439.7852;142377.8750;0.9819
2018-04-01T00:00:00.0/2018-05-01T00:00:00.0;296419.6250;209156.2344;147396.2500;61759.9883;220582.4375;195994.6562;131723.4219;64271.2383;194609.3438;0.9819
2018-05-01T00:00:00.0/2018-06-01T00:00:00.0;343072.5312;240712.6094;171297.0000;69415.6016;240749.9219;207934.1875;130108.2812;77825.8984;181963.3125;0.9805
2018-06-01T00:00:00.0/2018-07-01T00:00:00.0;345890.4688;250732.1406;197724.9062;53007.2383;279096.8750;228096.3750;163920.2500;64176.1367;231527.5938;0.9779
2018-07-01T00:00:00.0/2018-08-01T00:00:00.0;348723.0938;254219.5625;203688.5000;50531.0625;291501.0000;253682.3750;203097.8125;50584.5625;290700.5000;0.9757
2018-08-01T00:00:00.0/2018-09-01T00:00:00.0;317835.8438;228264.4844;179071.0625;49193.4180;265514.1250;222509.1250;170127.7031;52381.4336;252686.4375;0.9813
2018-09-01T00:00:00.0/2018-10-01T00:00:00.0;260472.5156;187022.2656;147712.0781;39310.1875;241549.9062;165499.3438;119035.3047;46464.0352;194864.9688;0.9823
