time_utc,total_production_active_power_kW
2024-04-06 16:45:00+00:00,1665.06225585938
2024-04-06 17:00:00+00:00,948.64111328125
2024-04-06 17:15:00+00:00,567.5966796875
2024-04-06 17:30:00+00:00,440.209991455078
2024-04-06 17:45:00+00:00,137.555557250977
2024-04-06 18:00:00+00:00,0.0
2024-04-06 18:15:00+00:00,0.0
2024-04-06 18:30:00+00:00,0.0
2024-04-06 18:45:00+00:00,0.0
2024-04-06 19:00:00+00:00,0.0
2024-04-06 19:15:00+00:00,0.0
2024-04-06 19:30:00+00:00,0.0
2024-04-06 19:45:00+00:00,0.0
2024-04-06 20:00:00+00:00,0.0
2024-04-06 20:15:00+00:00,0.0
2024-04-06 20:30:00+00:00,0.0
2024-04-06 20:45:00+00:00,0.0
2024-04-06 21:00:00+00:00,0.0
2024-04-06 21:15:00+00:00,0.0
2024-04-06 21:30:00+00:00,0.0
2024-04-06 21:45:00+00:00,0.0
2024-04-06 22:00:00+00:00,0.0
2024-04-06 22:15:00+00:00,0.0
2024-04-06 22:30:00+00:00,0.0
2024-04-06 22:45:00+00:00,0.0
2024-04-06 23:00:00+00:00,0.0
2024-04-06 23:15:00+00:00,0.0
2024-04-06 23:30:00+00:00,0.0
2024-04-06 23:45:00+00:00,0.0
2024-04-07 00:00:00+00:00,0.0
2024-04-07 00:15:00+00:00,0.0
2024-04-07 00:30:00+00:00,0.0
2024-04-07 00:45:00+00:00,0.0
2024-04-07 01:00:00+00:00,0.0
2024-04-07 01:15:00+00:00,0.0
2024-04-07 01:30:00+00:00,0.0
2024-04-07 01:45:00+00:00,0.0
2024-04-07 02:00:00+00:00,0.0
2024-04-07 02:15:00+00:00,0.0
2024-04-07 02:30:00+00:00,0.0
2024-04-07 02:45:00+00:00,0.0
2024-04-07 03:00:00+00:00,0.0
2024-04-07 03:15:00+00:00,0.0
2024-04-07 03:30:00+00:00,0.0
2024-04-07 03:45:00+00:00,0.0
2024-04-07 04:00:00+00:00,0.0
2024-04-07 04:15:00+00:00,0.0
2024-04-07 04:30:00+00:00,0.0
2024-04-07 04:45:00+00:00,0.0
2024-04-07 05:00:00+00:00,0.0
2024-04-07 05:15:00+00:00,0.0
2024-04-07 05:30:00+00:00,0.0
2024-04-07 05:45:00+00:00,139.027770996094
2024-04-07 06:00:00+00:00,532.359985351563
2024-04-07 06:15:00+00:00,1035.60559082031
2024-04-07 06:30:00+00:00,1642.80224609375
2024-04-07 06:45:00+00:00,2237.94677734375
2024-04-07 07:00:00+00:00,2815.53344726563
2024-04-07 07:15:00+00:00,3428.28881835938
2024-04-07 07:30:00+00:00,4022.24438476563
2024-04-07 07:45:00+00:00,4581.75537109375
2024-04-07 08:00:00+00:00,5125.67333984375
