# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2023-06-01T00:00:00.0
# Date end (ISO 8601): 2024-06-01T00:00:00.0
# Latitude (positive North, ISO 19115): 36.9000
# Longitude (positive East, ISO 19115): 21.7400
# Altitude (m): 171.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 1 day 0 h 0 min 0 s
# noValue: nan
# File generated on: 2025-05-03
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2023-07-28T00:00:00.0/2023-07-29T00:00:00.0;10979.9658;8149.1855;6708.7266;1440.4587;9767.8281;8149.1855;6708.7266;1440.4587;9767.8281;0.9792
2023-07-29T00:00:00.0/2023-07-30T00:00:00.0;10949.8574;8187.7285;6815.1294;1372.5989;9907.0088;8187.7285;6815.1294;1372.5989;9907.0088;0.9799
2023-07-30T00:00:00.0/2023-07-31T00:00:00.0;10919.0254;8159.1362;7004.3325;1154.8036;10323.1143;8159.1362;7004.3325;1154.8036;10323.1143;0.9806
2023-07-31T00:00:00.0/2023-08-01T00:00:00.0;10887.5166;8179.8652;6999.1172;1180.7479;10357.8193;8179.8652;6999.1172;1180.7479;10357.8193;0.9809
2023-08-01T00:00:00.0/2023-08-02T00:00:00.0;10855.2588;8102.6030;6911.8789;1190.7241;10242.7998;8102.6030;6911.8789;1190.7241;10242.7998;0.9816
2023-08-02T00:00:00.0/2023-08-03T00:00:00.0;10822.2852;8081.9609;6919.5566;1162.4044;10269.9893;8081.9609;6919.5566;1162.4044;10269.9893;0.9823
2023-08-03T00:00:00.0/2023-08-04T00:00:00.0;10788.5986;8175.7891;7181.8960;993.8931;10730.6055;8175.7891;7181.8960;993.8931;10730.6055;0.9830
2023-08-04T00:00:00.0/2023-08-05T00:00:00.0;10754.2012;8185.8594;7204.7925;981.0672;10811.8037;8185.8594;7204.7925;981.0672;10811.8037;0.9840
2023-08-05T00:00:00.0/2023-08-06T00:00:00.0;10719.1416;7795.1133;6223.4189;1571.6943;9118.9688;7589.0259;5674.4453;1914.5807;8490.4883;0.9788
2023-08-06T00:00:00.0/2023-08-07T00:00:00.0;10683.3467;8015.5718;6726.6748;1288.8970;9939.2139;7799.8931;6256.0386;1543.8546;9228.3525;0.9795
2023-08-07T00:00:00.0/2023-08-08T00:00:00.0;10646.8506;8072.0083;6905.2788;1166.7297;10303.5508;8072.0083;6905.2788;1166.7297;10303.5508;0.9802
2023-08-08T00:00:00.0/2023-08-09T00:00:00.0;10609.6553;8167.9023;7135.0024;1032.8999;10635.7773;8167.9023;7135.0024;1032.8999;10635.7773;0.9809
2023-08-09T00:00:00.0/2023-08-10T00:00:00.0;10571.7646;7749.7817;6292.0356;1457.7457;9262.5508;7696.8726;6211.8599;1485.0122;8981.2461;0.9816
2023-08-10T00:00:00.0/2023-08-11T00:00:00.0;10533.2227;7881.0439;6610.4067;1270.6376;9948.2881;7881.0439;6610.4067;1270.6376;9948.2881;0.9819
2023-08-11T00:00:00.0/2023-08-12T00:00:00.0;10493.9648;7710.2251;6332.9624;1377.2626;9413.4023;7531.5278;6060.4751;1471.0530;8779.5156;0.9826
2023-08-12T00:00:00.0/2023-08-13T00:00:00.0;10454.0234;7550.8242;5875.2422;1675.5822;8599.5215;6861.8809;4402.2988;2459.5823;6253.8550;0.9833
2023-08-13T00:00:00.0/2023-08-14T00:00:00.0;10413.3652;7594.5000;5996.8066;1597.6934;8738.9766;7475.6904;5733.5894;1742.1010;8386.4121;0.9844
2023-08-14T00:00:00.0/2023-08-15T00:00:00.0;10372.0811;7520.6196;5864.9937;1655.6261;8604.2979;7520.6196;5864.9937;1655.6261;8604.2979;0.9854
2023-08-15T00:00:00.0/2023-08-16T00:00:00.0;10330.1260;7700.8091;6424.1353;1276.6738;9672.1680;7700.8091;6424.1353;1276.6738;9672.1680;0.9806
2023-08-16T00:00:00.0/2023-08-17T00:00:00.0;10287.5537;7673.4136;6425.5454;1247.8680;9695.0732;7673.4136;6425.5454;1247.8680;9695.0732;0.9809
2023-08-17T00:00:00.0/2023-08-18T00:00:00.0;10244.2871;7506.5391;6016.7100;1489.8292;8963.8662;7506.5391;6016.7100;1489.8292;8963.8662;0.9816
