# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2023-06-01T00:00:00.0
# Date end (ISO 8601): 2024-06-01T00:00:00.0
# Latitude (positive North, ISO 19115): 36.9000
# Longitude (positive East, ISO 19115): 21.7400
# Altitude (m): 171.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s
# noValue: nan
# File generated on: 2025-05-03
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2023-06-04T19:00:00.0/2023-06-04T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2023-06-04T20:00:00.0/2023-06-04T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2023-06-04T21:00:00.0/2023-06-04T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2023-06-04T22:00:00.0/2023-06-04T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2023-06-04T23:00:00.0/2023-06-05T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2023-06-05T00:00:00.0/2023-06-05T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2023-06-05T01:00:00.0/2023-06-05T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2023-06-05T02:00:00.0/2023-06-05T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2023-06-05T03:00:00.0/2023-06-05T04:00:00.0;57.8449;19.8187;5.5000;14.3187;60.6015;19.8187;5.5000;14.3187;60.6015;0.6583
2023-06-05T04:00:00.0/2023-06-05T05:00:00.0;297.8521;155.6029;83.7080;71.8948;352.3825;155.6029;83.7080;71.8948;352.3825;0.9750
2023-06-05T05:00:00.0/2023-06-05T06:00:00.0;550.2971;350.6790;234.6545;116.0244;558.4584;340.3585;211.7348;128.6238;511.3646;1.0000
2023-06-05T06:00:00.0/2023-06-05T07:00:00.0;785.9562;549.0250;403.3484;145.6766;676.7369;490.2939;258.3141;231.9797;440.3888;1.0000
2023-06-05T07:00:00.0/2023-06-05T08:00:00.0;988.7773;725.2046;560.0753;165.1294;748.4688;647.2084;335.3052;311.9032;447.9302;1.0000
2023-06-05T08:00:00.0/2023-06-05T09:00:00.0;1144.9459;862.5199;684.8064;177.7135;790.9161;797.6569;478.7062;318.9507;552.4837;1.0000
2023-06-05T09:00:00.0/2023-06-05T10:00:00.0;1243.8271;950.3488;765.4066;184.9422;813.9567;946.6788;752.1505;194.5284;799.4666;1.0000
2023-06-05T10:00:00.0/2023-06-05T11:00:00.0;1278.6909;981.8669;794.2747;187.5923;821.6874;973.2853;767.0889;206.1964;793.5240;1.0000
2023-06-05T11:00:00.0/2023-06-05T12:00:00.0;1247.1707;954.1163;768.2605;185.8558;814.7896;890.8603;535.9244;354.9359;568.0252;1.0000
2023-06-05T12:00:00.0/2023-06-05T13:00:00.0;1151.4243;868.9354;689.4823;179.4530;791.8010;761.8885;362.6523;399.2362;415.2075;1.0000
2023-06-05T13:00:00.0/2023-06-05T14:00:00.0;997.9871;733.1296;565.5145;167.6151;748.7229;606.8828;255.0128;351.8699;331.2031;1.0000
2023-06-05T14:00:00.0/2023-06-05T15:00:00.0;797.3243;558.1132;409.2158;148.8974;676.7797;504.2484;281.6149;222.6335;479.7087;1.0000
2023-06-05T15:00:00.0/2023-06-05T16:00:00.0;563.1183;359.5985;238.8629;120.7356;555.3533;359.5985;238.8629;120.7356;555.3533;1.0000
2023-06-05T16:00:00.0/2023-06-05T17:00:00.0;311.3345;162.8986;85.6213;77.2772;345.2335;162.8986;85.6213;77.2772;345.2335;1.0000
2023-06-05T17:00:00.0/2023-06-05T18:00:00.0;67.3768;23.1775;6.0785;17.0990;61.6122;23.1775;6.0785;17.0990;61.6122;0.9083
2023-06-05T18:00:00.0/2023-06-05T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2023-06-05T19:00:00.0/2023-06-05T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2023-06-05T20:00:00.0/2023-06-05T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2023-06-05T21:00:00.0/2023-06-05T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2023-06-05T22:00:00.0/2023-06-05T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2023-06-05T23:00:00.0/2023-06-06T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2023-06-06T00:00:00.0/2023-06-06T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2023-06-06T01:00:00.0/2023-06-06T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2023-06-06T02:00:00.0/2023-06-06T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2023-06-06T03:00:00.0/2023-06-06T04:00:00.0;58.3968;19.9123;5.0199;14.8924;54.6184;2.4070;0.0000;2.4070;0.0000;0.6583
2023-06-06T04:00:00.0/2023-06-06T05:00:00.0;298.4100;156.0921;81.6064;74.4858;341.5894;67.3516;9.0186;58.3330;30.2183;0.9750
2023-06-06T05:00:00.0/2023-06-06T06:00:00.0;550.6061;353.1458;235.2750;117.8708;559.0735;273.5018;89.3416;184.1601;206.7565;1.0000
2023-06-06T06:00:00.0/2023-06-06T07:00:00.0;786.0849;553.8164;409.0522;144.7642;685.8824;469.7188;207.8302;261.8886;346.0014;1.0000
2023-06-06T07:00:00.0/2023-06-06T08:00:00.0;988.8062;732.4335;571.5161;160.9174;763.4559;662.8323;374.8959;287.9364;501.6265;1.0000
